Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
533	109	109	109	93.0000	0.8791	0.8785
534	109	109	109	93.0000	0.8791	0.8785
535	109	109	109	93.0000	0.8791	0.8785
536	109	109	109	93.0000	0.8791	0.8785
537	109	109	109	92.0000	0.8697	0.8691
538	109	109	109	93.0000	0.8791	0.8785
539	109	109	109	92.0000	0.8697	0.8691
540	109	109	109	93.0000	0.8791	0.8785
541	109	109	109	93.0000	0.8791	0.8785
542	109	109	109	93.0000	0.8791	0.8785
543	109	109	109	92.0000	0.8697	0.8691
544	109	109	109	93.0000	0.8791	0.8785
545	109	109	109	93.0000	0.8791	0.8785
546	109	109	109	93.0000	0.8791	0.8785
547	109	109	109	93.0000	0.8791	0.8785
548	109	109	109	93.0000	0.8791	0.8785
549	109	109	109	93.0000	0.8791	0.8785
550	109	109	109	93.0000	0.8791	0.8785
551	109	109	109	93.0000	0.8791	0.8785
552	109	109	109	93.0000	0.8791	0.8785
553	109	109	109	93.0000	0.8791	0.8785
554	109	109	109	92.0000	0.8697	0.8691
555	109	109	109	93.0000	0.8791	0.8785
556	109	109	109	93.0000	0.8791	0.8785
557	109	109	109	93.0000	0.8791	0.8785
558	109	109	109	93.0000	0.8791	0.8785
559	109	109	109	92.0000	0.8697	0.8691
560	109	109	109	93.0000	0.8791	0.8785
561	109	109	109	92.0000	0.8697	0.8691
562	109	109	109	93.0000	0.8791	0.8785
563	109	109	109	92.0000	0.8697	0.8691
564	109	109	109	93.0000	0.8791	0.8785
565	109	109	109	93.0000	0.8791	0.8785
566	109	109	109	92.0000	0.8697	0.8691
567	109	109	109	91.0000	0.8602	0.8596
568	109	109	109	93.0000	0.8791	0.8785
569	109	109	109	93.0000	0.8791	0.8785
570	109	109	109	93.0000	0.8791	0.8785
571	109	109	109	93.0000	0.8791	0.8785
572	109	109	109	93.0000	0.8791	0.8785
573	109	109	109	93.0000	0.8791	0.8785
574	109	109	109	92.0000	0.8697	0.8691
575	109	109	109	92.0000	0.8697	0.8691
576	109	109	109	93.0000	0.8791	0.8785
577	109	109	109	93.0000	0.8791	0.8785
578	109	109	109	93.0000	0.8791	0.8785
579	109	109	109	93.0000	0.8791	0.8785
580	109	109	109	92.0000	0.8697	0.8691
581	109	109	109	93.0000	0.8791	0.8785
582	109	109	109	93.0000	0.8791	0.8785
583	109	109	109	93.0000	0.8791	0.8785
584	109	109	109	92.0000	0.8697	0.8691
585	109	109	109	93.0000	0.8791	0.8785
586	109	109	109	93.0000	0.8791	0.8785
587	109	109	109	93.0000	0.8791	0.8785
588	109	109	109	93.0000	0.8791	0.8785
589	109	109	109	93.0000	0.8791	0.8785
590	109	109	109	93.0000	0.8791	0.8785
591	109	109	109	93.0000	0.8791	0.8785
592	109	109	109	93.0000	0.8791	0.8785
593	109	109	109	93.0000	0.8791	0.8785
594	109	109	109	93.0000	0.8791	0.8785
